gatunek;species_name;latin_name;english_name;BUL_SPECIES_NR;Grupa_gat;Nr_grupy_gat;grupa_wieku;code;col
LEU.EU.SU;modrzew europejski;Larix decidua sudetica;;673;SO;1;3;SO3;#D68640
LEU.EU.SU;modrzew europejski;Larix decidua sudetica;;673;SO;1;4;SO4;#D68640
MD.E;modrzew eurojapoński;Larix eurolepis;;729;SO;1;1;SO1;#DEB887
MD.E;modrzew eurojapoński;Larix eurolepis;;729;SO;1;2;SO2;#DC9F63
MD.E;modrzew eurojapoński;Larix eurolepis;;729;SO;1;3;SO3;#D68640
MD.E;modrzew eurojapoński;Larix eurolepis;;729;SO;1;4;SO4;#D68640
MD.D;modrzew daurski;Larix gmelinii;;728;SO;1;1;SO1;#DEB887
MD.D;modrzew daurski;Larix gmelinii;;728;SO;1;2;SO2;#DC9F63
MD.D;modrzew daurski;Larix gmelinii;;728;SO;1;3;SO3;#D68640
MD.D;modrzew daurski;Larix gmelinii;;728;SO;1;4;SO4;#D68640
LAR.GM.JA;modrzew daurski;Larix gmelinii japonica;;666;SO;1;1;SO1;#DEB887
LAR.GM.JA;modrzew daurski;Larix gmelinii japonica;;666;SO;1;2;SO2;#DC9F63
LAR.GM.JA;modrzew daurski;Larix gmelinii japonica;;666;SO;1;3;SO3;#D68640
LAR.GM.JA;modrzew daurski;Larix gmelinii japonica;;666;SO;1;4;SO4;#D68640
LAR.GM.OL;modrzew daurski;Larix gmelinii olgensis;;667;SO;1;1;SO1;#DEB887
LAR.GM.OL;modrzew daurski;Larix gmelinii olgensis;;667;SO;1;2;SO2;#DC9F63
LAR.GM.OL;modrzew daurski;Larix gmelinii olgensis;;667;SO;1;3;SO3;#D68640
LAR.GM.OL;modrzew daurski;Larix gmelinii olgensis;;667;SO;1;4;SO4;#D68640
LAR.GM.PR;modrzew daurski;Larix gmelinii pr.-rupprechtii;;668;SO;1;1;SO1;#DEB887
LAR.GM.PR;modrzew daurski;Larix gmelinii pr.-rupprechtii;;668;SO;1;2;SO2;#DC9F63
LAR.GM.PR;modrzew daurski;Larix gmelinii pr.-rupprechtii;;668;SO;1;3;SO3;#D68640
LAR.GM.PR;modrzew daurski;Larix gmelinii pr.-rupprechtii;;668;SO;1;4;SO4;#D68640
MD.H;modrzew himalajski;Larix griffithiana;;730;SO;1;1;SO1;#DEB887
MD.H;modrzew himalajski;Larix griffithiana;;730;SO;1;2;SO2;#DC9F63
MD.H;modrzew himalajski;Larix griffithiana;;730;SO;1;3;SO3;#D68640
MD.H;modrzew himalajski;Larix griffithiana;;730;SO;1;4;SO4;#D68640
MD.J;modrzew japoński;Larix kaempferi;;731;SO;1;1;SO1;#DEB887
MD.J;modrzew japoński;Larix kaempferi;;731;SO;1;2;SO2;#DC9F63
MD.J;modrzew japoński;Larix kaempferi;;731;SO;1;3;SO3;#D68640
MD.J;modrzew japoński;Larix kaempferi;;731;SO;1;4;SO4;#D68640
LAR.LA.PE;modrzew japoński;"Larix kaempferi ""Pendula""";;669;SO;1;1;SO1;#DEB887
LAR.LA.PE;modrzew japoński;"Larix kaempferi ""Pendula""";;669;SO;1;2;SO2;#DC9F63
LAR.LA.PE;modrzew japoński;"Larix kaempferi ""Pendula""";;669;SO;1;3;SO3;#D68640
LAR.LA.PE;modrzew japoński;"Larix kaempferi ""Pendula""";;669;SO;1;4;SO4;#D68640
MD.A;modrzew amerykański;Larix laricina;;725;SO;1;1;SO1;#DEB887
MD.A;modrzew amerykański;Larix laricina;;725;SO;1;2;SO2;#DC9F63
MD.A;modrzew amerykański;Larix laricina;;725;SO;1;3;SO3;#D68640
MD.A;modrzew amerykański;Larix laricina;;725;SO;1;4;SO4;#D68640
LAR.LA.PY;modrzew amerykański;Larix laricina Pyr.Argentea;;670;SO;1;1;SO1;#DEB887
LAR.LA.PY;modrzew amerykański;Larix laricina Pyr.Argentea;;670;SO;1;2;SO2;#DC9F63
LAR.LA.PY;modrzew amerykański;Larix laricina Pyr.Argentea;;670;SO;1;3;SO3;#D68640
LAR.LA.PY;modrzew amerykański;Larix laricina Pyr.Argentea;;670;SO;1;4;SO4;#D68640
MD.M;modrzew Marschlinsa;Larix marschlinsii;;733;SO;1;1;SO1;#DEB887
MD.M;modrzew Marschlinsa;Larix marschlinsii;;733;SO;1;2;SO2;#DC9F63
MD.M;modrzew Marschlinsa;Larix marschlinsii;;733;SO;1;3;SO3;#D68640
MD.M;modrzew Marschlinsa;Larix marschlinsii;;733;SO;1;4;SO4;#D68640
MD.ZD;modrzew zachodni;Larix occidentalis;;738;SO;1;1;SO1;#DEB887
MD.ZD;modrzew zachodni;Larix occidentalis;;738;SO;1;2;SO2;#DC9F63
MD.ZD;modrzew zachodni;Larix occidentalis;;738;SO;1;3;SO3;#D68640
MD.ZD;modrzew zachodni;Larix occidentalis;;738;SO;1;4;SO4;#D68640
