X;GAT;SPECIES_NUM;GAT_NAZWA;LATIN_NAME;SHRUBTREE_FL;BOT_SPECIES;BOT_GENUS;FOMATREE_GRP;ACT_TREE_GRP;BOT_NAME;WOOD_KIND_FL;TAX_TREE_GRP;BUL_SPECIES_NR;GRP_H;GRP_V;WORTH_GRP;AVG_CUT_AGE;AGE1;AGE2;NR_CYKLU;GRP_P_BDL;GRP_TH;GRP_P;GRP_V_TAB
326;JD.NI;41700;jodła nikko;Abies homolepis;D;jodła;;JD;JD;NA;I;NA;597;JD;JD;;NA;30;35;4;JD;JD;JD;JD
327;JD.NO;43300;jodła nieokreślona;Abies species;D;jodła;;JD;JD;NA;I;NA;598;JD;JD;;NA;30;35;4;JD;JD;JD;JD
328;JD.O;41500;jodła olbrzymia;Abies grandis;D;jodła;;JD;JD;NA;I;NA;599;JD;JD;;NA;30;35;4;JD;JD;JD;JD
329;JD.P;42600;jodła Pardego;Abies pardei;D;jodła;;JD;JD;NA;I;NA;600;JD;JD;;NA;30;35;4;JD;JD;JD;JD
330;JD.S;40900;jodła syryjska;Abies cylicica;D;jodła;;JD;JD;NA;I;NA;601;JD;JD;;NA;30;35;4;JD;JD;JD;JD
331;JD.SC;42900;jodła sachalińska;Abies sachalinensis;D;jodła;;JD;JD;NA;I;NA;602;JD;JD;;NA;30;35;4;JD;JD;JD;JD
332;JD.SL;42800;jodła szlachetna;Abies procera;D;jodła;;JD;JD;NA;I;NA;603;JD;JD;;NA;30;35;4;JD;JD;JD;JD
333;JD.SY;42200;jodła sycylijska;Abies nebrodensis;D;jodła;;JD;JD;NA;I;NA;604;JD;JD;;NA;30;35;4;JD;JD;JD;JD
334;JD.SYB;43000;jodła syberyjska;Abies sibirica;D;jodła;;JD;JD;NA;I;NA;605;JD;JD;;NA;30;35;4;JD;JD;JD;JD
335;JD.T;41200;jodła trojanska;Abies equi-trojani;D;jodła;;JD;JD;NA;I;NA;606;JD;JD;;NA;30;35;4;JD;JD;JD;JD
336;JD.V;43100;jodła Veitha;Abies veitchii;D;jodła;;JD;JD;NA;I;NA;607;JD;JD;;NA;30;35;4;JD;JD;JD;JD
337;JD.VI;43200;jodła Vilmorina;Abies vilmorinii;D;jodła;;JD;JD;NA;I;NA;608;JD;JD;;NA;30;35;4;JD;JD;JD;JD
338;JD.W;40200;jodła wonna;Abies amabilis;D;jodła;;JD;JD;NA;I;NA;609;JD;JD;;NA;30;35;4;JD;JD;JD;JD
339;JD.WS;42000;jodła wspaniała;Abies magnifica;D;jodła;;JD;JD;NA;I;NA;610;JD;JD;;NA;30;35;4;JD;JD;JD;JD
340;JD.WS.S;42001;jodła wspaniała;Abies magnifica var.shastensis;D;jodła;szasteńska;JD;JD;NA;I;NA;611;JD;JD;;NA;30;35;4;JD;JD;JD;JD
341;JEM;480100;jemioła pospolita;Viscum album;K;jemioła;;;;NA;L;NA;612;;;;NA;NA;NA;4;;;;
342;JEM.J;480200;jemioła jodłowa;Viscum abietis;K;jemioła;;;;NA;L;NA;613;;;;NA;NA;NA;4;;;;
343;JEM.R;480300;jemioła rozpierzchła;Viscum laxum;K;jemioła;;;;NA;L;NA;614;;;;NA;NA;NA;4;;;;
344;JKL;320900;klon jesionolistny;Acer negundo;D;klon;;OS;BK;NA;L;NA;94;DB;DB;OS;50;10;15;4;JW;DB;BK;BK
345;JRZ;730100;jarząb pospolity;Sorbus aucuparia;D;jarząb;;BRZ;BRZ;NA;L;NA;87;BRZ;BRZ;OS;50;15;20;4;BRZ;BRZ;BRZ;BRZ
346;JRZ.B;730500;jarząb brekinia;Sorbus torminalis;D;jarząb;;BRZ;BRZ;NA;L;NA;105;BRZ;BRZ;OS;50;15;20;4;BRZ;BRZ;BRZ;BRZ
347;JRZ.M;730400;jarząb mączny;Sorbus aria;D;jarząb;;BRZ;BRZ;NA;L;NA;615;BRZ;BRZ;;NA;15;20;4;BRZ;BRZ;BRZ;BRZ
348;JRZ.P;730300;jarzab pośredni;Sorbus hybrida;D;jarząb;;BRZ;BRZ;NA;L;NA;616;BRZ;BRZ;;NA;15;20;4;BRZ;BRZ;BRZ;BRZ
349;JRZ.S;730200;jarzab szwedzki;Sorbus intermedia;D;jarząb;;BRZ;BRZ;NA;L;NA;617;BRZ;BRZ;;NA;15;20;4;BRZ;BRZ;BRZ;BRZ
350;JS;340100;jesion wyniosły;Fraxinus excelsior;D;jesion;;DB;JS;NA;L;NA;48;BK;BK;DB;140;15;20;4;JS;JS;DB;JS
351;JS.A;340300;jesion amerykanski;Fraxinus americana;D;jesion;;DB;JS;NA;L;NA;106;BK;BK;DB;140;15;20;4;JS;JS;DB;JS
352;JS.M;340400;jesion mannowy;Fraxinus ornus;D;jesion;;DB;JS;NA;L;NA;618;BK;BK;;NA;15;20;4;JS;JS;DB;JS
353;JS.P;340200;jesion pensylwanski;Fraxinus pennsylvanica;D;jesion;;DB;JS;NA;L;NA;619;BK;BK;;NA;15;20;4;JS;JS;DB;JS
354;JŚM.N;1300100;jaśmin nagokwiatowy;Jasminum nudiflorum;K;jaśmin;;;;NA;L;NA;620;;;;NA;NA;NA;4;;;;
355;JUD.K;880200;judaszowiec kanadyjski;Circis canadensis;K;judaszowiec;;;;NA;L;NA;621;;;;NA;NA;NA;4;;;;
356;JUD.P;880100;judaszowiec południowy;Cercis siliquastrum;K;judaszowiec;;;;NA;L;NA;622;;;;NA;NA;NA;4;;;;
357;JW;320200;klon jawor;Acer pseudoplatanus;D;klon;;DB;BK;NA;L;NA;45;BK;BK;BK;100;10;15;4;JW;BK;BK;BK
358;KAL.B;1360500;kalina Burkwooda;Viburnum burkwoodii;K;kalina;;;;NA;L;NA;623;;;;NA;NA;NA;4;;;;
359;KAL.H;1360200;kalina hordowina;Viburnum lantana;K;kalina;;;;NA;L;NA;624;;;;NA;NA;NA;4;;;;
360;KAL.J;1360400;kalina Judda;Viburnum juddii;K;kalina;;;;NA;L;NA;625;;;;NA;NA;NA;4;;;;
361;KAL.K;1360100;kalina koralowa;Viburnum opulus;K;kalina;;;;NA;L;NA;36;;;;NA;NA;NA;4;;;;
362;KAL.KA;1360800;kalina kanadyjska;Viburnum lentago;K;kalina;;;;NA;L;NA;626;;;;NA;NA;NA;4;;;;
363;KAL.KR;1360300;kalina koreanska;Viburnum carlesii;K;kalina;;;;NA;L;NA;627;;;;NA;NA;NA;4;;;;
364;KAL.S;1360600;kalina sztywnolistna;Viburnum rhytidophyllum;K;kalina;;;;NA;L;NA;628;;;;NA;NA;NA;4;;;;
365;KAL.W;1360700;kalina wonna;Viburnum fragrans;K;kalina;;;;NA;L;NA;629;;;;NA;NA;NA;4;;;;
366;KAR.C;940300;karagana ciernista;Caragana spinosa;K;karagana;;;;NA;L;NA;630;;;;NA;NA;NA;4;;;;
367;KAR.K;940400;karagana karłowata;Caragana pygmaea;K;karagana;;;;NA;L;NA;631;;;;NA;NA;NA;4;;;;
368;KAR.P;940200;karagana podolska;Caragana frutex;K;karagana;;;;NA;L;NA;632;;;;NA;NA;NA;4;;;;
369;KAR.PO;940500;karagana pomarańczowa;Caragana aurantiaca;K;karagana;;;;NA;L;NA;633;;;;NA;NA;NA;4;;;;
370;KAR.S;940100;karagana syberyjska;Caragana arborescens;K;karagana;;;;NA;L;NA;634;;;;NA;NA;NA;4;;;;
371;KER.JA.PL;800101;złotlin japoński;Kerria japonica Pleniflora;K;złotlin;"odm.""""Pleniflora""""";;;NA;L;NA;635;;;;NA;NA;NA;4;;;;
372;KET.S;1150100;ketmia syryjska;Hibiscus syriacus;K;ketmia;;;;NA;L;NA;636;;;;NA;10;15;4;;;;
373;KL;320100;klon pospolity;Acer platanoides;D;klon;;DB;BK;NA;L;NA;44;BK;BK;BK;100;10;15;4;JW;BK;BK;BK
374;KL.C;320600;klon cukrowy;Acer saccharum;D;klon;;DB;BK;NA;L;NA;637;BK;BK;;NA;10;15;4;JW;KL;BK;BK
375;KL.CZ;320800;klon czerwony;Acer rubrum;D;klon;;DB;BK;NA;L;NA;638;;;;NA;10;15;4;;KL;;
376;KL.CZ.CO;320801;klon czerwony;Acer rubrum;D;klon;odm. Columnare;DB;BK;NA;L;NA;639;;;;NA;10;15;4;;KL;;
377;KL.G;320400;klon ginnala;Acer ginnala;D;klon;;DB;BK;NA;L;NA;640;BK;BK;;NA;10;15;4;JW;KL;BK;BK
378;KL.N;321300;klon nikkonski;Acer nikoense;D;klon;;DB;BK;NA;L;NA;641;BK;BK;;NA;10;15;4;JW;KL;BK;BK
379;KL.O;321100;klon okrągłolistny;Acer circinatum;D;klon;;DB;BK;NA;L;NA;642;BK;BK;;NA;10;15;4;JW;KL;BK;BK
380;KL.P;320500;klon polny;Acer campestre;D;klon;;DB;BK;NA;L;NA;107;BK;BK;BK;100;10;15;4;JW;KL;BK;BK
381;KL.PA;321000;klon palmowy;Acer palmatum;D;klon;;DB;BK;NA;L;NA;643;BK;BK;;NA;10;15;4;JW;KL;BK;BK
382;KL.PE;321200;klon pensylwanski;Acer pensylvanicum;D;klon;;DB;BK;NA;L;NA;644;BK;BK;;NA;10;15;4;JW;KL;BK;BK
383;KL.SR;320700;klon srebrzysty;Acer saccharinum;D;klon;;DB;BK;NA;L;NA;645;BK;BK;;NA;10;15;4;JW;KL;BK;BK
384;KL.T;320300;klon tatarski;Acer tataricum;D;klon;;DB;BK;NA;L;NA;646;BK;BK;;NA;10;15;4;JW;KL;BK;BK
385;KLC.P;1330100;kolcowój pospolity;Lycium halimifolium;K;kolcowój;;;;NA;L;NA;647;;;;NA;NA;NA;4;;;;
386;KLM.S;1250100;kalmia szrokolistna;Kalmia latifolia;K;kalmia;;;;NA;L;NA;648;;;;NA;NA;NA;4;;;;
387;KŁK.K;870100;kłęk kanadyjski;Gymnocladus dioicus;D;kłęk;;;;NA;L;NA;649;;;;NA;10;15;4;;;;
388;KŁO.P;1090100;kłokoczka południowa;Staphylea pinnata;K;kłokoczka;;;;NA;L;NA;650;;;;NA;NA;NA;4;;;;
389;KOK.W;490100;kokornak wielkokwiatowy;Aristolochia durior;K;kokornak;;;;NA;L;NA;651;;;;NA;NA;NA;4;;;;
390;KRK.A;1000100;korkowiec amurski;Phellodendron amurense;D;korkowiec;;;;NA;L;NA;652;;;;NA;20;30;4;;;;
391;KRU;1120100;kruszyna pospolita;Rhamnus frangula;K;kruszyna;;;;NA;L;NA;37;;;;NA;NA;NA;4;;;;
392;KSZ;1100100;kasztanowiec biały;Aesculus hippocastanum;D;kasztanowiec;;OS;BRZ;NA;L;NA;93;BRZ;OS;OS;50;10;15;4;OS;BRZ;BRZ;BRZ
